,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds Rec,Y/R,TD Rec,Lng Rec,R/G,Y/G Rec,YScm,RRTD,Fmb
0,DeMarco Murray*+,DAL,26,RB,16,16,392,1845,13,51,4.7,115.3,24.5,64.0,57.0,416.0,7.3,0.0,34.0,3.6,26.0,2261,13,6
1,LeSean McCoy*,PHI,26,RB,16,16,312,1319,5,53,4.2,82.4,19.5,37.0,28.0,155.0,5.5,0.0,18.0,1.8,9.7,1474,5,4
2,Le'Veon Bell*+,PIT,22,RB,16,16,290,1361,8,81,4.7,85.1,18.1,105.0,83.0,854.0,10.3,3.0,48.0,5.2,53.4,2215,11,0
3,Marshawn Lynch*,SEA,28,RB,16,14,280,1306,13,79,4.7,81.6,17.5,48.0,37.0,367.0,9.9,4.0,39.0,2.3,22.9,1673,17,4
4,Matt Forte,CHI,29,RB,16,16,266,1038,6,32,3.9,64.9,16.6,130.0,102.0,808.0,7.9,4.0,56.0,6.4,50.5,1846,10,2
5,Alfred Morris*,WAS,26,RB,16,16,265,1074,8,30,4.1,67.1,16.6,26.0,17.0,155.0,9.1,0.0,26.0,1.1,9.7,1229,8,2
6,Arian Foster*,HOU,28,RB,13,13,260,1246,8,51,4.8,95.8,20.0,59.0,38.0,327.0,8.6,5.0,56.0,2.9,25.2,1573,13,2
7,Frank Gore,SFO,31,RB,16,16,255,1106,4,52,4.3,69.1,15.9,19.0,11.0,111.0,10.1,1.0,55.0,0.7,6.9,1217,5,2
8,Eddie Lacy,GNB,24,RB,16,16,246,1139,9,44,4.6,71.2,15.4,55.0,42.0,427.0,10.2,4.0,67.0,2.6,26.7,1566,13,3
9,Justin Forsett*,BAL,29,RB,16,14,235,1266,8,52,5.4,79.1,14.7,59.0,44.0,263.0,6.0,0.0,26.0,2.8,16.4,1529,8,2
10,Mark Ingram*,NOR,25,RB,13,9,226,964,9,31,4.3,74.2,17.4,36.0,29.0,145.0,5.0,0.0,14.0,2.2,11.2,1109,9,3
11,Joique Bell,DET,28,rb,15,6,223,860,7,57,3.9,57.3,14.9,53.0,34.0,322.0,9.5,1.0,28.0,2.3,21.5,1182,8,5
12,Jeremy Hill,CIN,22,RB,16,8,222,1124,9,85,5.1,70.3,13.9,32.0,27.0,215.0,8.0,0.0,38.0,1.7,13.4,1339,9,5
13,Andre Williams,NYG,22,rb/wr,16,7,217,721,7,50,3.3,45.1,13.6,37.0,18.0,130.0,7.2,0.0,24.0,1.1,8.1,851,7,1
14,Lamar Miller,MIA,23,RB,16,16,216,1099,8,97,5.1,68.7,13.5,52.0,38.0,275.0,7.2,1.0,20.0,2.4,17.2,1374,9,3
15,Jamaal Charles*,KAN,28,RB,15,15,206,1033,9,63,5.0,68.9,13.7,59.0,40.0,291.0,7.3,5.0,30.0,2.7,19.4,1324,14,5
16,Andre Ellington,ARI,25,RB,12,12,201,660,3,22,3.3,55.0,16.8,64.0,46.0,395.0,8.6,2.0,81.0,3.8,32.9,1055,5,2
17,Chris Ivory,NYJ,26,RB,16,10,198,821,6,71,4.1,51.3,12.4,27.0,18.0,123.0,6.8,1.0,23.0,1.1,7.7,944,7,2
18,Steven Jackson,ATL,31,RB,15,15,190,707,6,55,3.7,47.1,12.7,27.0,20.0,148.0,7.4,0.0,17.0,1.3,9.9,855,6,0
19,C.J. Anderson*,DEN,23,rb,15,7,179,849,8,27,4.7,56.6,11.9,44.0,34.0,324.0,9.5,2.0,51.0,2.3,21.6,1173,10,1
20,Tre Mason,STL,21,RB,12,9,179,765,4,89,4.3,63.8,14.9,26.0,16.0,148.0,9.3,1.0,35.0,1.3,12.3,913,5,2
21,Jonathan Stewart,CAR,27,RB,13,8,175,809,3,69,4.6,62.2,13.5,31.0,25.0,181.0,7.2,1.0,22.0,1.9,13.9,990,4,3
22,Terrance West,CLE,23,rb,14,6,171,673,4,36,3.9,48.1,12.2,13.0,11.0,64.0,5.8,1.0,11.0,0.8,4.6,737,5,2
23,Alfred Blue,HOU,23,rb,16,3,169,528,2,46,3.1,33.0,10.6,18.0,15.0,113.0,7.5,1.0,22.0,0.9,7.1,641,3,0
24,Giovani Bernard,CIN,23,RB,13,9,168,680,5,89,4.0,52.3,12.9,59.0,43.0,349.0,8.1,2.0,46.0,3.3,26.8,1029,7,0
25,Rashad Jennings,NYG,29,RB,11,9,167,639,4,18,3.8,58.1,15.2,41.0,30.0,226.0,7.5,0.0,27.0,2.7,20.5,865,4,1
26,Matt Asiata,MIN,27,RB,15,9,164,570,9,19,3.5,38.0,10.9,63.0,44.0,312.0,7.1,1.0,41.0,2.9,20.8,882,10,1
27,Branden Oliver,SDG,23,rb,14,7,160,582,3,52,3.6,41.6,11.4,45.0,36.0,271.0,7.5,1.0,50.0,2.6,19.4,853,4,0
28,Trent Richardson,IND,24,RB,15,12,159,519,3,27,3.3,34.6,10.6,34.0,27.0,229.0,8.5,0.0,24.0,1.8,15.3,748,3,2
29,Chris Johnson,NYJ,29,rb,16,6,155,663,1,47,4.3,41.4,9.7,34.0,24.0,151.0,6.3,1.0,26.0,1.5,9.4,814,2,1
30,Darren McFadden,OAK,27,RB,16,12,155,534,2,25,3.4,33.4,9.7,56.0,36.0,212.0,5.9,0.0,23.0,2.3,13.3,746,2,1
31,Bishop Sankey,TEN,22,RB,16,9,152,569,2,22,3.7,35.6,9.5,23.0,18.0,133.0,7.4,0.0,18.0,1.1,8.3,702,2,2
32,Isaiah Crowell,CLE,21,rb,16,4,148,607,8,35,4.1,37.9,9.3,14.0,9.0,87.0,9.7,0.0,19.0,0.6,5.4,694,8,3
